special_token_size	1
token_size	48
singleton_size	14
singleton_max_count	1
0	*UNK*	1
1	E1	8
2	E6	7
3	E2	7
4	E4	6
5	E61	5
6	V2	4
7	E11	4
8	E66	4
9	E76	4
10	E7	3
11	E10	3
12	E22	3
13	E3	3
14	E78	3
15	E57	3
16	E83	3
17	T1	3
18	E86	2
19	E90	2
20	E70	2
21	E71	2
22	T6	2
23	E25	2
24	E77	2
25	E79	2
26	E80	2
27	E81	2
28	V1	2
29	T7	2
30	T2	2
31	E12	2
32	E13	2
33	E14	2
34	E15	2
35	E101	1
36	E98	1
37	E99	1
38	E45	1
39	E54	1
40	E53	1
41	E17	1
42	T8	1
43	E60	1
44	T9	1
45	V4	1
46	E75	1
47	E95	1
48	V3	1
